BARCODE,BRAND_CODE,CATEGORY,NAME
511111904175,PEPPERIDGE FARM,Grocery,Pepperidge Farm
511111212997,CHEX MIX,Snacks,CHEX MIX
511111803393,,Snacks,Cheez-It
511111304982,BETTER HOMES & GARDENS,Magazines,Better Homes & Gardens Magazine
511111912859,TRUVIA,Baking,Truvia?
511111401209,BAKER'S,Baking,Baker's
511111700746,PG TIPS,Beverages,PG Tips
511111801191,CAPRI SUN,Beverages,Capri Sun
511111704652,HUGGIES,Baby,Huggies
511111603870,BLUE BUNNY,Frozen,Blue Bunny
511111500940,AXE,Personal Care,Axe
511111502098,KNUDSEN,Dairy & Refrigerated,Knudsen
511111709848,LESTOIL,Cleaning & Home Improvement,LESTOIL
511111306672,VIZZY,"Beer, Hard Cider & Seltzer",Vizzy
511111508670,BABY DOVE,Personal Care,Baby Dove
511111503743,MURRAY,Baking,Murray
511111811848,HUS KITCHEN,Candy & Sweets,HUS KITCHEN
511111907169,FRONTERA FROZEN,Frozen,Frontera?
511111203049,0,Beverages,Caffeine-free Diet Coke
511111002208,BULL'S-EYE,Condiments & Sauces,Bull's Eye
511111512462,,,Glaceau smartwater
511111600916,BRUMMEL AND BROWN,Dairy & Refrigerated,BRUMMEL AND BROWN
511111901372,PERONI,"Beer, Hard Cider & Seltzer",Peroni Italy
511111614357,GOPUFF,Retailers,Gopuff
511111405818,ONE A DAY? KIDS AND TEENS,Health & Wellness,ONE A DAY? KIDS AND TEENS
511111605263,CLEAN EATING,Magazines,Clean Eating Magazine
511111013402,DENTASTIX,Pet,DENTASTIX
511111101017,MICKEYS,"Beer, Hard Cider & Seltzer",Mickey's
511111906797,LIQUID PLUMR,Cleaning & Home Improvement,Liquid-Plumr
511111614913,WINTERFRESH,Gum & Mints,WINTERFRESH?
511111006466,CRACKER BARREL CHEESE,Dairy & Refrigerated,Cracker Barrel Cheese
511111410713,COLUMBIA WINERY,Wine,COLUMBIA WINERY??
511111211167,BAHLSEN,Snacks,Bahlsen
511111703549,,,Budweiser Select
511111908999,NICODERM,,NICODERM
511111413950,LUCKY CHARMS OTHER,Breakfast & Cereal,Lucky Charms Other
511111313984,NATURE VALLEY OTHER,Snacks,Nature Valley Other
511111813767,GOOD NATURED,Grocery,Good Natured
511111415909,SCOTT1,Household,Scott? Brand
511111510826,REDWOOD CREEK,Wine,REDWOOD CREEK
511111600282,KEYSTONE ICE,Beer Wine Spirits,Keystone Ice
511111312451,,,Glaceau vitaminwater
511111510109,EDNA VALLEY,Wine,EDNA VALLEY
511111709565,KODIAK CUPS,Baking,Kodiak Cakes On-The-Go Cups
511111007135,EARTH BALANCE SPREADS,Condiments & Sauces,Earth Balance?
511111802075,EXPIRED KRAFT CARAMELS,Baking,EXPIRED Kraft Caramels
511111614289,SHARPIE,Household,Sharpie
511111507918,BARE,Snacks,Bare Snacks
511111713708,GALLO VERMOUTH,Wine,GALLO VERMOUTH
511111307488,NESTLE NAN,Baby,Nestle NAN
511111208747,MIRALAX,Health & Wellness,MIRALAX
511111108122,ABSOLUT,Spirits,Absolut?
511111304548,KRUNCHERS,Snacks,Krunches!
511111007067,BLAKES,Frozen,Blake's?
511111300588,PONDS,Beauty,PONDS
511111015536,FUZZYS TACO SHOP,Restaurants,Fuzzy's Taco Shop
511111413233,FISHER BOY,,Fisher boy
511111902461,,,Antarctica
511111006695,ONE A DAY,Health & Wellness,One A Day?
511111812722,HAPPI FOODI,Grocery,Happi Foodi?
511111100904,CARESS,Personal Care,Caress
511111704935,KEVITA,Beverages,KEVITA
511111911814,CYTOSPORT,Beverages,Cytosport
511111702948,DIET CHERRY COKE,Beverages,Diet Cherry Coke
511111900054,SUNSILK,Beauty & Personal Care,Sunsilk
511111605058,HEALTH,Magazines,Health Magazine
511111004288,FOOD NETWORK KITCHEN INSPIRATIONS,Condiments & Sauces,Food Network Kitchen Inspirations
511111407171,GARDEIN,Frozen,Gardein?
511111415626,CHIPS AHOY,Snacks,CHIPS AHOY!
511111613756,SHREDS CEREAL,Breakfast & Cereal,Shreds
511111715603,YANKEE CANDLE,Household,Yankee Candle
511111011873,PEDIGREE,Pet,Pedigree?
511111207931,FRITO LAY,Snacks,Frito-Lay
511111014515,JIF,Grocery,Jif
511111702382,BREAKSTONE'S,Dairy & Refrigerated,Breakstone's
511111202677,,,Snapple
511111001041,HOFFMAN'S,Dairy & Refrigerated,Hoffman's
511111001607,DIET PEPSI,Beverages,Diet Pepsi
511111609506,BUBBL'R,Beverages,BUBBL'R
511111902188,DELIMEX,Frozen,Delimex
511111608066,STARBUCKS,Beverages,Starbucks
511111603924,LIPTON,Beverages,Lipton
511111601517,STACYS,Snacks,Stacy's Pita Chips
511111414995,TWIX,Candy & Chocolate,TWIX?
511111008453,ATKINS,Grocery,Atkins
